source_center,destination_center,trip_count,median_actual_time,mean_actual_time,median_osrm_time,median_delay_ratio,mean_delay_ratio,std_delay_ratio,delay_pct,sla_breach_rate,chronic_delay_rate,median_distance,ftl_share,route_type_entropy,is_bottleneck_corridor,src_betweenness,dst_betweenness,src_pagerank,dst_pagerank,src_risk,dst_risk,src_community,dst_community,cross_community,corridor_risk,delay_pct_over_osrm,revenue_risk_proxy,corridor_label
IND847223AAA,IND842001AAA,19,647.0,549.5263157894736,64.0,9.953846153846154,9.039347461940952,4.015696453777441,895.3846153846154,0.2105263157894736,1.0,64.03380805136062,1.0,-1.4426951601859516e-10,True,0.0012084592145015,0.024700074434082,0.0006009177835352,0.0050999501325563,0.0920155270256757,0.2812413078187802,129,0,1,0.1866284174222279,895.3846153846154,3.9999999999999982,47223AAA → 42001AAA
IND395009AAA,IND395023AAD,21,150.0,143.71428571428572,16.0,9.666666666666666,9.242237256207844,2.3662684279630293,866.6666666666666,0.238095238095238,1.0,12.547696891981486,0.0,-1.4426951601859516e-10,True,0.0,1.787877461068056e-05,0.0002290587453243,0.0021536216539241,0.1570456251962772,0.1742144723648321,36,36,0,0.1656300487805546,866.6666666666666,4.999999999999998,95009AAA → 95023AAD
IND395001AAA,IND395023AAD,18,126.0,130.94444444444446,14.0,9.329670329670328,9.466768416768415,2.002046059453998,832.967032967033,0.2222222222222222,1.0,9.301565634654631,0.0,-1.4426951601859516e-10,True,0.0,1.787877461068056e-05,0.0002871414003519,0.0021536216539241,0.1279981316501147,0.1742144723648321,36,36,0,0.1511063020074734,832.9670329670329,4.0,95001AAA → 95023AAD
IND847226AAA,IND842001AAA,105,680.0,566.7333333333333,61.0,9.209876543209877,9.438599022383022,4.645777606793618,820.9876543209876,0.8,1.0,67.24463446112522,1.0,-1.4426951601859516e-10,True,0.0004031846111184,0.024700074434082,0.0006660591362734,0.0050999501325563,0.2195897051799008,0.2812413078187802,0,0,0,0.2504155064993405,820.9876543209876,84.0,47226AAA → 42001AAA
IND751002AAB,IND754103AAA,11,359.0,302.8181818181818,41.0,8.547619047619047,8.25112169036129,3.742818683690793,754.7619047619047,0.3636363636363636,1.0,32.18258160480691,1.0,-1.4426951601859516e-10,True,0.019942860895836,0.00121393230877,0.0086117895579939,0.0001677185627461,0.3253334647200285,0.1844401197692345,0,0,0,0.2548867922446315,754.7619047619047,3.9999999999999996,51002AAB → 54103AAA
IND147105AAA,IND160002AAC,28,567.0,491.6071428571428,57.5,8.45225916453538,8.111580106668443,4.893607585412609,745.225916453538,0.75,1.0,55.88146062300264,1.0,-1.4426951601859516e-10,True,0.0004053738488258,0.1754933082300743,0.0003161612908336,0.010075722007065,0.2185663758025202,0.5701715764151721,2,2,0,0.3943689761088462,745.225916453538,21.0,47105AAA → 60002AAC
IND847404AAB,IND842001AAA,46,580.0,497.69565217391306,73.0,8.294856459330143,8.089729862887236,3.224354658902396,729.4856459330142,0.6086956521739131,1.0,88.74687161217491,1.0,-1.4426951601859516e-10,True,0.0008060043492855,0.024700074434082,0.0005847299815787,0.0050999501325563,0.1908001208587785,0.2812413078187802,131,0,1,0.2360207143387793,729.4856459330143,28.0,47404AAB → 42001AAA
IND208019AAA,IND209304AAA,13,126.0,114.23076923076924,16.0,8.1875,7.815028680469857,5.6866364904595565,718.75,0.5384615384615384,1.0,12.148891129056052,0.0,-1.4426951601859516e-10,True,0.0,0.0572664448239123,0.0003381441539411,0.0111358066055175,0.1987504828375818,0.3757694622956246,1,1,0,0.2872599725666032,718.75,7.0,08019AAA → 09304AAA
IND211008AAA,IND211002AAB,18,121.0,296.55555555555554,14.5,8.165178571428571,20.189616402116403,26.755605727761107,716.5178571428571,0.6666666666666666,1.0,18.12336127059622,0.0,-1.4426951601859516e-10,True,0.0,0.0088434257191645,0.0001128934352693,0.0028562121631972,0.1227767663099027,0.2482284429897205,1,1,0,0.1855026046498116,716.5178571428571,12.0,11008AAA → 11002AAB
IND249201AAA,IND249407AAA,17,197.0,292.6470588235294,27.0,7.88,11.06258558435029,7.433789264722138,688.0,0.0,1.0,20.07208687296368,1.0,-1.4426951601859516e-10,True,0.0016196710305471,0.004033305602989,0.0003107126090925,0.0011314036340478,0.088548569337095,0.1727391531859312,58,0,1,0.1306438612615131,688.0,0.0,49201AAA → 49407AAA
IND721102AAA,IND712311AAA,20,677.5,588.5,92.0,7.73804347826087,7.211987641797201,2.2085297876716914,673.804347826087,0.35,1.0,102.11714656717032,1.0,-1.4426951601859516e-10,True,0.0024059722404658,0.1077531853408643,0.0002225843362752,0.0140782831820626,0.0961678823465322,0.4946231001958118,0,0,0,0.295395491271172,673.804347826087,7.0,21102AAA → 12311AAA
IND401602AAA,IND401501AAA,31,184.0,170.93548387096774,25.0,7.344827586206897,7.6539214739782,2.971289540489692,634.4827586206897,0.4516129032258064,1.0,19.657053885289745,0.0,-1.4426951601859516e-10,True,0.0,0.0,0.0007501755046973,0.0007501755046973,0.1869372650131655,0.1869372650131655,142,142,0,0.1869372650131655,634.4827586206897,13.999999999999998,01602AAA → 01501AAA
IND175015AAA,IND174001AAA,49,889.0,715.2244897959183,130.0,7.263157894736842,6.754442960889272,3.5082844503586066,626.3157894736843,0.7346938775510204,1.0,66.5237165374955,1.0,-1.4426951601859516e-10,True,0.0008078287140417,0.0024223915232715,0.0002904284944418,0.0006255875617903,0.2206769798073984,0.1329884424550086,2,2,0,0.1768327111312035,626.3157894736842,36.0,75015AAA → 74001AAA
IND829121AAA,IND834002AAB,57,398.0,316.859649122807,54.0,7.236363636363636,6.671638848484384,2.536314273928622,623.6363636363636,0.8070175438596491,1.0,39.16510448029517,0.0526315789473684,0.2974722486307506,True,0.0008060043492855,0.0063152210400338,0.0006860651164704,0.0032038122660365,0.2290847051981371,0.2795162862263911,0,0,0,0.2543004957122641,623.6363636363636,46.0,29121AAA → 34002AAB
IND283122AAB,IND282005AAA,7,145.0,388.0,21.0,6.590909090909091,18.437028447742733,19.46310884046755,559.0909090909091,0.5714285714285714,1.0,19.58667642377752,0.0,-1.4426951601859516e-10,True,0.0004042792299721,0.0,0.0002088553472484,0.0001572772000624,0.1628990733128655,0.1023313420254989,10,10,0,0.1326152076691822,559.0909090909091,4.0,83122AAB → 82005AAA
